,layer,score,score_error,architecture,task,kind,source
0,c2,0.0073202962832476,0.0001478319186965,AtlasNet,Eig,a_-0.2,pcs_1000
1,c2,0.0075762910729506,0.0001431531588396,AtlasNet,Eig,a_-0.3,pcs_1000
2,c2,0.0075189570886458,0.0001379283690233,AtlasNet,Eig,a_-0.4,pcs_1000
3,c2,0.0076573360784345,0.0001388140585946,AtlasNet,Eig,a_-0.5,pcs_1000
4,c2,0.0075316050477897,0.0001362616200014,AtlasNet,Eig,a_-0.6,pcs_1000
5,c2,0.0073471960168895,0.0001403097555909,AtlasNet,Eig,a_-0.7,pcs_1000
6,c2,0.0067676893928772,0.0001412196811543,AtlasNet,Eig,a_-0.8,pcs_1000
7,c2,0.0062179556477265,0.0001505790725262,AtlasNet,Eig,a_-0.9,pcs_1000
8,c2,0.0057116428953176,0.000155140811081,AtlasNet,Eig,a_-1.0,pcs_1000
9,c2,0.0042658051201026,0.0001632525001502,AtlasNet,Eig,a_-1.2,pcs_1000
10,c2,0.0035426454235592,0.0001654328692704,AtlasNet,Eig,a_-1.4,pcs_1000
11,c2,0.003137336452209,0.0001712054053314,AtlasNet,Eig,a_-1.6,pcs_1000
12,c2,0.0029082338242205,0.0001701246849932,AtlasNet,Eig,a_-1.8,pcs_1000
13,c2,0.0027329033707746,0.0001697156233232,AtlasNet,Eig,a_-2,pcs_1000
14,c2,0.002722998572471,0.0001693316513755,AtlasNet,Eig,a_-2.2,pcs_1000
15,c2,0.0026749446696563,0.0001698166340232,AtlasNet,Eig,a_-2.4,pcs_1000
16,c2,0.002665161107358,0.0001697003860395,AtlasNet,Eig,a_-2.6,pcs_1000
17,c2,0.0026659594592404,0.0001708976334587,AtlasNet,Eig,a_-2.8,pcs_1000
18,c2,0.0026580490177165,0.0001702096148968,AtlasNet,Eig,a_-3,pcs_1000
